product   month   sales
Laptop    Jan     50000
Mobile    Jan     30000
Tablet    Jan     20000
Headphones Jan    15000
Laptop    Feb     52000
Mobile    Feb     31000
Tablet    Feb     21000
Headphones Feb    16000
Laptop    Mar     54000
Mobile    Mar     32000
Tablet    Mar     22000
Headphones Mar    17000
Laptop    Apr     56000
Mobile    Apr     33000
Tablet    Apr     23000
Headphones Apr    18000
Laptop    May     58000
Mobile    May     34000
Tablet    May     24000
Headphones May    19000
Laptop    Jun     60000
Mobile    Jun     35000
Tablet    Jun     25000
Headphones Jun    20000
Laptop    Jul     62000
Mobile    Jul     36000
Tablet    Jul     26000
Headphones Jul    21000
Laptop    Aug     64000
Mobile    Aug     37000
Tablet    Aug     27000
Headphones Aug    22000
Laptop    Sep     66000
Mobile    Sep     38000
Tablet    Sep     28000
Headphones Sep    23000
Laptop    Oct     68000
Mobile    Oct     39000
Tablet    Oct     29000
Headphones Oct    24000
Laptop    Nov     70000
Mobile    Nov     40000
Tablet    Nov     30000
Headphones Nov    25000
Laptop    Dec     80000
Mobile    Dec     50000
Tablet    Dec     35000
Headphones Dec    30000
